Time       Bytes Sent           Bytes Received      
17:05:46   346 bytes/s       603 bytes/s
17:05:47   2,917 bytes/s       1,181 bytes/s
17:05:48   6,378 bytes/s       6,444 bytes/s
17:05:49   358 bytes/s       530 bytes/s
17:05:50   302 bytes/s       805 bytes/s
17:05:51   359 bytes/s       420 bytes/s
17:05:52   751 bytes/s       729 bytes/s
17:05:53   413 bytes/s       756 bytes/s
17:05:54   182 bytes/s       278 bytes/s
17:05:55   128 bytes/s       162 bytes/s
17:05:56   4,742 bytes/s       14,745 bytes/s
17:05:58   238 bytes/s       463 bytes/s
17:05:59   1,236 bytes/s       1,397 bytes/s
17:06:00   894 bytes/s       929 bytes/s
17:06:01   972 bytes/s       953 bytes/s
17:06:02   886 bytes/s       710 bytes/s
17:06:49   182 bytes/s       278 bytes/s
17:06:50   6,259 bytes/s       1,853 bytes/s
17:06:51   10,296 bytes/s       7,021 bytes/s
17:06:53   194 bytes/s       297 bytes/s
17:06:54   574 bytes/s       946 bytes/s
17:07:57   17,145 bytes/s       13,581 bytes/s
17:07:58   5,887 bytes/s       18,750 bytes/s
17:07:59   629 bytes/s       320 bytes/s
17:08:00   2,281 bytes/s       1,457 bytes/s
17:08:01   5,002 bytes/s       5,948 bytes/s
17:08:03   339 bytes/s       777 bytes/s
17:08:04   629 bytes/s       772 bytes/s
17:08:05   147 bytes/s       222 bytes/s
17:08:06   22,439 bytes/s       66 bytes/s
17:08:07   28,929 bytes/s       3,317 bytes/s
17:08:08   8,026 bytes/s       2,307 bytes/s
17:08:09   4,932 bytes/s       505 bytes/s
17:08:10   74 bytes/s       267 bytes/s
17:08:11   11,396 bytes/s       472 bytes/s
17:08:12   259 bytes/s       550 bytes/s
17:08:13   74 bytes/s       378 bytes/s
17:08:14   3,341 bytes/s       2,668 bytes/s
17:08:15   1,415 bytes/s       5,157 bytes/s
17:08:16   184 bytes/s       280 bytes/s
17:08:17   341 bytes/s       786 bytes/s
17:08:18   195 bytes/s       580 bytes/s
17:08:28   249 bytes/s       267 bytes/s
17:08:29   6,378 bytes/s       4,273 bytes/s
17:08:30   6,493 bytes/s       6,827 bytes/s
17:08:31   151 bytes/s       236 bytes/s
17:08:32   319 bytes/s       747 bytes/s
17:08:33   74 bytes/s       166 bytes/s
17:08:34   12,847 bytes/s       1,231 bytes/s
17:08:35   184 bytes/s       392 bytes/s
17:08:36   7,350 bytes/s       686 bytes/s
17:08:37   182 bytes/s       1,449 bytes/s
17:08:38   282 bytes/s       335 bytes/s
17:08:39   4,925 bytes/s       1,106 bytes/s
17:08:40   218 bytes/s       160 bytes/s
17:08:41   4,970 bytes/s       576 bytes/s
17:08:42   74 bytes/s       260 bytes/s
17:08:43   5,419 bytes/s       1,026 bytes/s
17:08:44   10,603 bytes/s       11,017 bytes/s
17:08:45   4,818 bytes/s       533 bytes/s
17:08:46   128 bytes/s       175 bytes/s
17:08:47   5,046 bytes/s       803 bytes/s
17:08:48   248 bytes/s       341 bytes/s
17:08:50   14,593 bytes/s       6,328 bytes/s
17:08:51   356 bytes/s       1,109 bytes/s
17:08:52   8,816 bytes/s       1,009 bytes/s
17:08:53   356 bytes/s       734 bytes/s
17:08:54   4,917 bytes/s       282 bytes/s
17:08:55   368 bytes/s       466 bytes/s
17:08:56   4,964 bytes/s       509 bytes/s
17:08:57   371 bytes/s       649 bytes/s
17:08:58   5,268 bytes/s       1,333 bytes/s
17:08:59   239 bytes/s       364 bytes/s
17:09:00   5,163 bytes/s       1,102 bytes/s
17:09:01   296 bytes/s       374 bytes/s
17:09:02   4,912 bytes/s       443 bytes/s
17:09:03   129 bytes/s       320 bytes/s
17:09:04   5,463 bytes/s       533 bytes/s
