Time       CPU Usage (%)   Memory Used (MB)     Memory Total (MB)    Disk Read (MB)       Disk Write (MB)      Bytes Sent (B/s)     Bytes Received (B/s)
17:23:34               6.9               13,258               16,010                    0              766,511                8,628                9,580
17:23:36               3.5               13,249               16,010                    0              766,511                5,030                4,816
17:23:38               3.0               13,247               16,010                    1              766,511                  797                1,275
17:23:40               4.6               13,236               16,010                    0              766,511                  314                  417
17:23:42               3.0               13,233               16,010                    0              766,511                  499                  899
17:23:44               5.1               13,232               16,010                    0              766,511                  203                  544
17:23:46               4.2               13,243               16,010                    0              766,513                  285                  666
17:23:48               2.3               13,250               16,010                    1              766,513               11,128               11,894
17:23:50               4.9               13,262               16,010                    0              766,514                3,190                7,414
17:23:53               6.1               13,240               16,010                    0              766,514                  334                  739
17:23:55              20.5               13,299               16,010                    1              766,515                1,410                1,180
17:23:57              18.6               13,344               16,010                    0              766,516                3,032                1,153
17:28:55               8.3               13,409               16,010                    0              766,777                   55                    0
17:28:56               4.1               13,403               16,010                    0              766,777                  732                1,626
17:28:57               5.5               13,381               16,010                    0              766,777                3,027                  593
17:28:58               7.4               13,370               16,010                    1              766,777                6,650                6,526
17:28:59               6.0               13,231               16,010                    0              766,778                  151                  206
17:29:00              16.6               13,377               16,010                    0              766,779                  706                1,024
17:29:01              20.8               13,359               16,010                    1              766,780                  217                  675
17:29:02              13.8               13,507               16,010                    0              766,781                  348                  674
17:29:03               9.0               13,405               16,010                    0              766,781                   74                  438
17:29:04               8.3               13,406               16,010                    0              766,781                   74                  166
17:29:05               3.8               13,398               16,010                    0              766,782                  206                  642
17:29:06               2.3               13,396               16,010                    0              766,782                  129                    0
17:30:49               0.0               13,216               16,010                    0              766,884                    0                    0
17:30:54               3.8               13,182               16,010                    0              766,885                3,648                2,183
17:30:59               3.0               13,146               16,010                    0              766,886                  304                  593
17:31:04               3.8               13,155               16,010                    0              766,889                1,237                1,703
17:31:09               3.6               13,139               16,010                    0              766,890                  895                  512
17:31:14               3.0               13,125               16,010                    0              766,891                  567                1,824
17:31:19               3.4               13,119               16,010                    0              766,892                1,300                3,286
17:31:24               2.8               13,115               16,010                    0              766,893                1,187                2,039
17:31:29               2.9               13,123               16,010                    0              766,895                  663                4,708
17:31:34               2.5               13,112               16,010                    0              766,896                  247                  431
17:31:39               2.9               13,126               16,010                    0              766,897                  784                2,080
17:31:44              13.9               13,194               16,010                    0              766,898                4,400                3,750
17:31:49               6.8               13,241               16,010                    0              766,899                3,366               26,299
17:31:54               6.3               13,302               16,010                    0              766,910                3,578              113,675
17:32:11              12.5               13,302               16,010                    0              766,924                    0                    0
17:32:12               3.2               13,307               16,010                    0              766,924               11,348                7,324
17:32:13               3.5               13,296               16,010                    0              766,924                5,227                1,099
17:32:14               2.7               13,291               16,010                    0              766,924                  413                1,045
17:32:15               3.9               13,287               16,010                    0              766,924                   74                   74
17:32:16               6.0               13,268               16,010                    0              766,925                  228                  160
17:32:17               4.1               13,265               16,010                    0              766,925                2,997               18,609
17:32:18               3.1               13,208               16,010                    0              766,925                  562                  414
17:32:19               7.0               13,180               16,010                    0              766,925                  217                  204
17:32:20               3.3               13,168               16,010                    0              766,925                  205                  532
17:32:21               2.8               13,145               16,010                    0              766,925                  326                    0
17:32:22               2.4               13,148               16,010                    0              766,925                  577                  966
17:32:23               3.7               13,157               16,010                    0              766,925                  206                  378
17:32:24               2.7               13,148               16,010                    0              766,925                   74                  352
17:32:25               8.1               13,170               16,010                    0              766,925                  151                  240
17:32:26              21.9               13,200               16,010                    0              766,926                  272                  300
17:32:27               6.2               13,205               16,010                    0              766,927                   74                   74
17:32:28               4.7               13,202               16,010                    0              766,927               11,933                2,102
17:32:29               6.2               13,197               16,010                    0              766,927                1,029                  632
17:32:30               2.8               13,197               16,010                    0              766,927                  129                  324
17:32:31               3.7               13,198               16,010                    0              766,927                7,363                1,211
17:32:32               4.9               13,191               16,010                    0              766,927                  686                  730
17:32:33               4.6               13,189               16,010                    0              766,927                7,072                  347
17:32:34               3.0               13,186               16,010                    0              766,927                  163                  386
17:32:35              13.2               13,208               16,010                   11              766,929                2,364               19,771
17:32:36              14.1               13,251               16,010                   12              766,931                9,742                2,176
17:32:37               6.5               13,251               16,010                    0              766,931                  437                  674
